,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,loq,footnote,min_year_acquired,name,unit_name
83,1123938,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
84,1124226,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
85,1124862,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
86,1125619,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
87,1125828,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
88,1126143,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
89,1126144,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
90,1126209,1257,0.78,,70.0,,,,,,,"Fatty acids, total trans",G
91,1126921,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
92,1126945,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
93,1126973,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
94,1127043,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
95,1127082,1257,0.5,,70.0,,,,,,,"Fatty acids, total trans",G
96,1127441,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
97,1127888,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
98,1128024,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
99,1128275,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
100,1128276,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
101,1128810,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
102,1129278,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
103,1129312,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
104,1129488,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
105,1129601,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
106,1129627,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
107,1129792,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
108,1130117,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
109,1130236,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
110,1130611,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
111,1130838,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
112,1130967,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
113,1131062,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
114,1131268,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
115,1131414,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
116,1132160,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
117,1132561,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
118,1132912,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
119,1133013,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
120,1133051,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
121,1133537,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
122,1133784,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
123,1134198,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
124,1134406,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
125,1134636,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
126,1134819,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
127,1135557,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
128,1136620,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
129,1136765,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
130,1136978,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
131,1137105,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
132,1137138,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
133,1137176,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
134,1137407,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
135,1137439,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
136,1137735,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
137,1137918,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
138,1138138,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
139,1138575,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
140,1138686,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
141,1139103,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
142,1139652,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
143,167551,1257,0.0,0.0,68.0,,,,,,,"Fatty acids, total trans",G
144,168370,1257,0.012,0.0,49.0,,,,,,,"Fatty acids, total trans",G
145,168460,1257,0.0,0.0,68.0,,,,,,,"Fatty acids, total trans",G
146,168526,1257,0.0,0.0,68.0,,,,,,,"Fatty acids, total trans",G
147,169836,1257,0.104,0.0,49.0,,,,,,,"Fatty acids, total trans",G
148,170078,1257,0.0,0.0,68.0,,,,,,,"Fatty acids, total trans",G
149,170422,1257,0.0,0.0,68.0,,,,,,,"Fatty acids, total trans",G
150,170700,1257,0.296,0.0,49.0,,,,,,,"Fatty acids, total trans",G
151,170702,1257,0.2,1.0,47.0,,,,,,,"Fatty acids, total trans",G
152,170732,1257,0.113,0.0,49.0,,,,,,,"Fatty acids, total trans",G
153,170851,1257,0.333,0.0,49.0,,,,,,,"Fatty acids, total trans",G
154,171634,1257,0.237,0.0,49.0,,,,,,,"Fatty acids, total trans",G
155,171838,1257,0.19,0.0,47.0,,,,,,,"Fatty acids, total trans",G
156,171895,1257,0.001,1.0,1.0,,,,,,,"Fatty acids, total trans",G
157,172362,1257,34.162,0.0,49.0,,,,,,,"Fatty acids, total trans",G
158,172909,1257,0.003,0.0,65.0,,,,,,,"Fatty acids, total trans",G
159,173207,1257,0.0,0.0,68.0,,,,,,,"Fatty acids, total trans",G
160,173995,1257,0.215,0.0,18.0,,,,,,,"Fatty acids, total trans",G
161,174092,1257,0.0,0.0,44.0,,,,,,,"Fatty acids, total trans",G
162,174708,1257,0.7,0.0,49.0,,,,,,,"Fatty acids, total trans",G
163,175232,1257,0.0,1.0,44.0,,,,,,,"Fatty acids, total trans",G
164,344774,1257,0.4,,78.0,,,,,,,"Fatty acids, total trans",G
165,344980,1257,0.0,,78.0,,,,,,,"Fatty acids, total trans",G
166,345013,1257,0.0,,78.0,,,,,,,"Fatty acids, total trans",G
167,345215,1257,0.1,,78.0,,,,,,,"Fatty acids, total trans",G
168,345449,1257,0.0,,78.0,,,,,,,"Fatty acids, total trans",G
169,345563,1257,0.0,,77.0,,,,,,,"Fatty acids, total trans",G
170,345942,1257,0.1,,78.0,,,,,,,"Fatty acids, total trans",G
171,345947,1257,0.0,,78.0,,,,,,,"Fatty acids, total trans",G
172,346321,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
173,346506,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
174,347022,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
175,347105,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
176,347265,1257,0.15,,71.0,,,,,,,"Fatty acids, total trans",G
177,347312,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
