fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,loq,footnote,min_year_acquired,name,unit_name
1126921,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
1126945,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
1126973,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
1127043,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
1127082,1257,0.5,,70.0,,,,,,,"Fatty acids, total trans",G
1127441,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
1127888,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
1128024,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
1128275,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
1128276,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
1128810,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
1129278,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
1129312,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
